#TAXONOMY	display_taxon	Species	Genus	Family	Order	Class	Phylum	Kingdom
41a045b63d19f3592a2bd274f10ee727	Prevotella sp000758925	 Prevotella sp000758925	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
4bd028ae4137ae3047fe2d5ce0263c44	Finegoldia magna_H	 Finegoldia magna_H	 Finegoldia	 Peptoniphilaceae	 Tissierellales	 Clostridia_258483	 Bacillota_A_368345	Bacteria
cc13275762f2677593201d17f23d72c7	Limosilactobacillus portuensis	 Limosilactobacillus portuensis	 Limosilactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli_A	 Bacillota_I	Bacteria
5e9fa66e41354373403766f5d950da8a	UBA629 sp005465875	 UBA629 sp005465875	 UBA629	 Lachnospiraceae	 Lachnospirales	 Clostridia_258483	 Bacillota_A_368345	Bacteria
4bd787a467212912b2770b99a448518f	Cryptobacteroides sp022777585	 Cryptobacteroides sp022777585	 Cryptobacteroides	 UBA932	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
b095403d50ec1c3252b70bc43a8c434d	Gemella asaccharolytica	 Gemella asaccharolytica	 Gemella	 Gemellaceae	 Staphylococcales	 Bacilli_A	 Bacillota_I	Bacteria
e364f53e488c86eec3de99381a32eebf	Megasphaera_C lornae	 Megasphaera_C lornae	 Megasphaera_C	 Megasphaeraceae	 Veillonellales	 Negativicutes	 Bacillota_C	Bacteria
94b50bf5efde83ed652819b671cf50e3	Sodaliphilus pleomorphus	 Sodaliphilus pleomorphus	 Sodaliphilus	 Muribaculaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
44a536d3febd41af7c2917c37925fb14	Bifidobacterium_388775 vaginale	 Bifidobacterium_388775 vaginale	 Bifidobacterium_388775	 Bifidobacteriaceae	 Actinomycetales	 Actinomycetes	 Actinomycetota	Bacteria
66a677bea619ef4e3e5199e07e22e38c	Lactobacillus iners	 Lactobacillus iners	 Lactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli_A	 Bacillota_I	Bacteria
2596ad2922d09513548567f6564ec549	Prevotella buccalis	 Prevotella buccalis	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
b272735da6cca3b76e755783bdc1d0ff	Dialister_37762 sp001553355	 Dialister_37762 sp001553355	 Dialister_37762	 Dialisteraceae	 Veillonellales	 Negativicutes	 Bacillota_C	Bacteria
9b7702f4da3b6cf0f20be0548e7f5100	Dialister micraerophilus	 Dialister micraerophilus	 Dialister	 Dialisteraceae	 Veillonellales	 Negativicutes	 Bacillota_C	Bacteria
25dbfe9caf477c7b14429106fce6faf5	Lactobacillus paragasseri	 Lactobacillus paragasseri	 Lactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli	 Bacillota	Bacteria
c2b6e3f57613b0d0d1e080843f273d23	Lactobacillus iners	 Lactobacillus iners	 Lactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli_A	 Bacillota_I	Bacteria
c1769961bd513346c6d033545c8b3798	Fusobacterium_C animalis	 Fusobacterium_C animalis	 Fusobacterium_C	 Fusobacteriaceae	 Fusobacteriales	 Fusobacteriia	 Fusobacteriota	Bacteria
f16544024de03f8900e8fb0360803898	Veillonella_A atypica	 Veillonella_A atypica	 Veillonella_A	 Veillonellaceae	 Veillonellales	 Negativicutes	 Bacillota_C	Bacteria
ff9794084ef41b09eff29db2304c0f7f	Lactobacillus iners	 Lactobacillus iners	 Lactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli_A	 Bacillota_I	Bacteria
0186a64d9161bdd925a78dd398e4c0fd	UBA629 sp005465875	 UBA629 sp005465875	 UBA629	 Lachnospiraceae	 Lachnospirales	 Clostridia_258483	 Bacillota_A_368345	Bacteria
7aed92a3b96d82e79109183dd660ed48	Megasphaera_C lornae	 Megasphaera_C lornae	 Megasphaera_C	 Megasphaeraceae	 Veillonellales	 Negativicutes	 Bacillota_C	Bacteria
e38ab7e811b65bd6779e1b2f7aa0975f	Burkholderia-Caballeronia-Paraburkholderia (genus)	 Unclassified	 Burkholderia-Caballeronia-Paraburkholderia	 Burkholderiaceae	 Burkholderiales	 Gammaproteobacteria	 Pseudomonadota	Bacteria
96721fa19dadb8b23f609aab59ad414f	Prevotella bivia	 Prevotella bivia	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
67d5e4514e920716c9626372ec5a52b3	Lactobacillus iners	 Lactobacillus iners	 Lactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli	 Bacillota	Bacteria
c79b2c4ca52c50b789d41aedf34417ad	Gardnerella vaginalis	 Gardnerella vaginalis	 Gardnerella	 Bifidobacteriaceae	 Bifidobacteriales	 Actinobacteria	 Actinomycetota	Bacteria
f71662523d19a216b8d89a88959954c2	Prevotella denticola	 Prevotella denticola	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
d0ed516449bf9a1719df601f33326358	Prevotella buccalis	 Prevotella buccalis	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
