#TAXONOMY	Kingdom	Phylum	Class	Order	Family 	Genus	Species 
feaeffe388fc9777a02a9ef92b9340fd	Bacteria	 Bacillota_C	 Negativicutes	 Veillonellales	 Veillonellaceae	 Veillonella_A	 Veillonella_A montpellierensis
b33c73bc0214438874eff03c4d65f772	Bacteria	 Bacillota	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	 Enterococcus faecium
517151598277853eb1bfbae63fb8949d	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Prevotella	 Prevotella timonensis A
70b91bafa01ed195e48d2fd386edabe5	Bacteria	 Bacillota_C	 Negativicutes	 Veillonellales	 Dialisteraceae	 Dialister_37762	 Dialister_37762 sp001553355
8710d50b0a928b17410cb3be347921ea	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus jensenii
de10657ff7e6c45eb9c82ed74ba21459	Bacteria	 Bacillota_A	 Clostridia	 Tissierellales	 Peptoniphilaceae	 Parvimonas	 Parvimonas sp001552895
1de619f5380f72067eb7ed757c7cbdcc	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus iners
bdecb0a9b2a55d7f82796d5f30f73243	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Prevotella	 Prevotella bivia
ea6c07fdac550a98f9b3aa0750b82929	Bacteria	 Actinomycetota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Gardnerella	 Gardnerella vaginalis
c36ed20f1912d17b1ca1f7d999e3a524	Bacteria	 Bacillota_I	 Bacilli_A	 Mycoplasmatales	 Mycoplasmoidaceae	 Ureaplasma	 Ureaplasma parvum
72be13afc5251d2aed25c2e413467350	Bacteria	 Fusobacteriota	 Fusobacteriia	 Fusobacteriales	 Leptotrichiaceae	 Sneathia	 Sneathia sanguinegens
8a8861acc9030a5ea0ebf02ccb3533ad	Bacteria	 Fusobacteriota	 Fusobacteriia	 Fusobacteriales	 Leptotrichiaceae	 Sneathia	 Sneathia sanguinegens
772ffbdf8a6acfe96f533ceba3308b54	Bacteria	 Bacillota_C	 Negativicutes	 Veillonellales	 Megasphaeraceae	 Megasphaera_C	 Megasphaera_C lornae
3ee5fc905861c2301c4ae9e30643edec	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Limosilactobacillus	 Limosilactobacillus portuensis
e3adc9604604c3636e8f3438c4eb4402	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus paragasseri
88a56e07657179e54f098fad950df674	Bacteria	 Bacillota_C	 Negativicutes	 Veillonellales	 Dialisteraceae	 Dialister_37762	 Dialister_37762 sp001553355
0dd5c732ecfe3f61f364f7b3d84d803e	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Lachnospirales	 Lachnospiraceae	 UBA629	 UBA629 sp005465875
901a8b9b0fcb3ad53741ac35731b09b6	Bacteria	 Bacillota_A	 Clostridia	 Tissierellales	 Peptoniphilaceae	 Parvimonas	 Parvimonas sp001552895
d8e4681331241d51bdff1504d19b10cc	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Aerococcaceae	 Aerococcus	 Aerococcus christensenii
68726f8f6dc6d211b5cf4cd05aa072ba	Bacteria	 Bacillota	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus iners
eb5793d280337f699932242fa7fa405c	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Prevotella	 Prevotella buccalis
9b8e11557e6b51987803b82438649b1c	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Prevotella	 Prevotella buccalis
dacd0d3fc5e654e58b98067c279f0f83	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Prevotella	 Prevotella disiens
f4e3691d2611f936ccdf6b65139c29c0	Bacteria	 Bacillota_C	 Negativicutes	 Veillonellales	 Megasphaeraceae	 Megasphaera_C	 Megasphaera_C lornae
6a648efb66da289fd209723c97167cd0	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Limosilactobacillus	 Limosilactobacillus portuensis
059e1b9d586e9b91da0050d03f4f0ad3	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Prevotella	 Prevotella buccalis
c1c93c516cdb584bc65a8b3785616b67	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Prevotella	 Prevotella melaninogenica
b0a22ac95850f2d83c6844f2e7de3fac	Bacteria	 Bacillota_I	 Bacilli_A	 Staphylococcales	 Gemellaceae	 Gemella	 Gemella asaccharolytica
3cf0270a8e1969620190b406293f00bd	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus jensenii
418da51cbdbb62f633d199872c341081	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Limosilactobacillus	 Limosilactobacillus portuensis
6abc5029a3c2448f34c2f63dd6d35fa7	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus crispatus
94002b728c2390fed0ff9a0b3f1c7d8e	Bacteria	 Bacillota	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Unclassified
f40f2ee33e3fbaf4b267d4379ac51169	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Tissierellales	 Peptoniphilaceae	 Peptoniphilus_A	 Peptoniphilus_A harei_A
6c5b4dd8a52ebd33969a6827a49e320d	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Bifidobacteriaceae	 Bifidobacterium_388775	 Bifidobacterium_388775 swidsinskii
79be3ede4ec574da45ceaefcc8b5bd9b	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Aerococcaceae	 Aerococcus	 Aerococcus christensenii
c6e901b74b89ac6d48f6d3895d4fdad7	Bacteria	 Bacillota	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus crispatus
c0d5cc14b6253707383a25020b2d4049	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus paragasseri
59828b2e62d382590258864522640e75	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Prevotella	 Prevotella bivia
bcde6bbc5ca3b97be60c4ebfa52b16ca	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Prevotella	 Prevotella buccalis
ef8b1c617ce91bf9a75be7a17b48da29	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales_737866	 Enterobacteriaceae_A_725029	 Enterobacter_B_681665	 Enterobacter_B_681665 hormaechei_681663
f7a19f4e9348261d8ea1469bd44264fa	Bacteria	 Bacillota	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus crispatus
2035b4f6e13002797ceb67c8101b931c	Bacteria	 Bacillota_C	 Negativicutes	 Veillonellales	 Dialisteraceae	 Dialister_37762	 Dialister_37762 sp001553355
df60b1fd37749bd6121dea00b6624dcb	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Tissierellales	 Peptoniphilaceae	 Peptoniphilus_A	 Peptoniphilus_A harei_A
10a5635d0636028f2f4e0d1ce529d9ba	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Aerococcaceae	 Aerococcus	 Aerococcus christensenii
8fb41c4e54031a292925fe05efdda2eb	Bacteria	 Actinomycetota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Gardnerella	 Gardnerella vaginalis
